Cases/10000Habitants,Cases,Municipality,Gemnr,Habitants,Number of Records,Date
0,0,Aa en Hunze,"1,68",25386,1,04/03/2020
0,0,Aalsmeer,358,31728,1,04/03/2020
0,0,Aalten,197,27011,1,04/03/2020
0,0,Achtkarspelen,59,27852,1,04/03/2020
0,0,Alblasserdam,482,20069,1,04/03/2020
0,0,Albrandswaard,613,25271,1,04/03/2020
0,0,Alkmaar,361,108558,1,04/03/2020
0,0,Almelo,141,72849,1,04/03/2020
0,0,Almere,34,207904,1,04/03/2020
"0,090101454",1,Alphen aan den Rijn,484,110986,1,04/03/2020
0,0,Alphen-Chaam,"1,723",10149,1,04/03/2020
"0,541653125",3,Altena,"1,959",55386,1,04/03/2020
0,0,Ameland,60,3673,1,04/03/2020
0,0,Amersfoort,307,156286,1,04/03/2020
0,0,Amstelveen,362,90838,1,04/03/2020
"0,011587955",1,Amsterdam,363,862965,1,04/03/2020
0,0,Apeldoorn,200,162445,1,04/03/2020
0,0,Appingedam,3,11721,1,04/03/2020
0,0,Arnhem,202,159265,1,04/03/2020
0,0,Assen,106,67963,1,04/03/2020
0,0,Asten,743,16710,1,04/03/2020
0,0,Baarle-Nassau,744,6847,1,04/03/2020
0,0,Baarn,308,24767,1,04/03/2020
0,0,Barendrecht,489,48673,1,04/03/2020
0,0,Barneveld,203,57971,1,04/03/2020
0,0,Beek,888,15929,1,04/03/2020
0,0,Beekdaelen,"1,954",35727,1,04/03/2020
0,0,Beemster,370,9748,1,04/03/2020
0,0,Beesel,889,13519,1,04/03/2020
0,0,Berg en Dal,"1,945",34798,1,04/03/2020
0,0,Bergeijk,"1,724",18491,1,04/03/2020
0,0,Bergen (L),893,13140,1,04/03/2020
0,0,Bergen (NH),373,29974,1,04/03/2020
0,0,Bergen op Zoom,748,66811,1,04/03/2020
0,0,Berkelland,"1,859",43904,1,04/03/2020
0,0,Bernheze,"1,721",30806,1,04/03/2020
0,0,Best,753,29821,1,04/03/2020
0,0,Beuningen,209,25882,1,04/03/2020
"0,242859918",1,Beverwijk,375,41176,1,04/03/2020
0,0,Bladel,"1,728",20175,1,04/03/2020
"0,892697733",1,Blaricum,376,11202,1,04/03/2020
0,0,Bloemendaal,377,23410,1,04/03/2020
0,0,Bodegraven-Reeuwijk,"1,901",34462,1,04/03/2020
0,0,Boekel,755,10588,1,04/03/2020
0,0,Borger-Odoorn,"1,681",25372,1,04/03/2020
0,0,Borne,147,23210,1,04/03/2020
0,0,Borsele,654,22800,1,04/03/2020
0,0,Boxmeer,756,29065,1,04/03/2020
0,0,Boxtel,757,30747,1,04/03/2020
0,0,Breda,758,183873,1,04/03/2020
0,0,Brielle,501,17182,1,04/03/2020
0,0,Bronckhorst,"1,876",36212,1,04/03/2020
0,0,Brummen,213,20698,1,04/03/2020
0,0,Brunssum,899,28103,1,04/03/2020
0,0,Bunnik,312,15192,1,04/03/2020
0,0,Bunschoten,313,21576,1,04/03/2020
0,0,Buren,214,26568,1,04/03/2020
0,0,Capelle aan den IJssel,502,66818,1,04/03/2020
0,0,Castricum,383,35772,1,04/03/2020
"0,563650199",2,Coevorden,109,35483,1,04/03/2020
0,0,Cranendonck,"1,706",20440,1,04/03/2020
0,0,Cuijk,"1,684",24931,1,04/03/2020
0,0,Culemborg,216,28555,1,04/03/2020
0,0,Dalfsen,148,28499,1,04/03/2020
0,0,Dantumadiel,"1,891",18923,1,04/03/2020
0,0,De Bilt,310,42824,1,04/03/2020
0,0,De Fryske Marren,"1,94",51430,1,04/03/2020
0,0,De Ronde Venen,736,44059,1,04/03/2020
0,0,De Wolden,"1,69",24110,1,04/03/2020
"0,096933978",1,Delft,503,103163,1,04/03/2020
0,0,Delfzijl,10,24716,1,04/03/2020
0,0,Den Helder,400,55604,1,04/03/2020
0,0,Deurne,762,32362,1,04/03/2020
0,0,Deventer,150,99957,1,04/03/2020
"0,685025346",2,Diemen,384,29196,1,04/03/2020
0,0,Dinkelland,"1,774",26350,1,04/03/2020
0,0,Doesburg,221,11148,1,04/03/2020
0,0,Doetinchem,222,57555,1,04/03/2020
0,0,Dongen,766,26051,1,04/03/2020
0,0,Dordrecht,505,118654,1,04/03/2020
0,0,Drechterland,498,19597,1,04/03/2020
0,0,Drimmelen,"1,719",27150,1,04/03/2020
0,0,Dronten,303,40815,1,04/03/2020
0,0,Druten,225,18797,1,04/03/2020
0,0,Duiven,226,25332,1,04/03/2020
0,0,Echt-Susteren,"1,711",31638,1,04/03/2020
0,0,Edam-Volendam,385,36099,1,04/03/2020
0,0,Ede,228,115710,1,04/03/2020
0,0,Eemnes,317,9113,1,04/03/2020
0,0,Eersel,770,19110,1,04/03/2020
0,0,Eijsden-Margraten,"1,903",25658,1,04/03/2020
"0,043170064",1,Eindhoven,772,231642,1,04/03/2020
0,0,Elburg,230,23086,1,04/03/2020
0,0,Emmen,114,107113,1,04/03/2020
0,0,Enkhuizen,388,18507,1,04/03/2020
0,0,Enschede,153,158986,1,04/03/2020
0,0,Epe,232,33145,1,04/03/2020
0,0,Ermelo,233,26858,1,04/03/2020
0,0,Etten-Leur,777,43774,1,04/03/2020
0,0,Geertruidenberg,779,21515,1,04/03/2020
0,0,Geldrop-Mierlo,"1,771",39595,1,04/03/2020
0,0,Gemert-Bakel,"1,652",30447,1,04/03/2020
0,0,Gennep,907,17071,1,04/03/2020
0,0,Gilze en Rijen,784,26431,1,04/03/2020
0,0,Goeree-Overflakkee,"1,924",49611,1,04/03/2020
0,0,Goes,664,37653,1,04/03/2020
0,0,Goirle,785,23793,1,04/03/2020
"0,173265182",1,Gooise Meren,"1,942",57715,1,04/03/2020
0,0,Gorinchem,512,36682,1,04/03/2020
0,0,Gouda,513,73181,1,04/03/2020
0,0,Grave,786,12483,1,04/03/2020
0,0,Groningen,14,231299,1,04/03/2020
0,0,Gulpen-Wittem,"1,729",14246,1,04/03/2020
0,0,Haaksbergen,158,24277,1,04/03/2020
0,0,Haaren,788,14195,1,04/03/2020
"0,062009736",1,Haarlem,392,161265,1,04/03/2020
0,0,Haarlemmermeer,394,154235,1,04/03/2020
0,0,Halderberge,"1,655",30194,1,04/03/2020
0,0,Hardenberg,160,60574,1,04/03/2020
0,0,Harderwijk,243,47581,1,04/03/2020
"0,553985929",1,Hardinxveld-Giessendam,523,18051,1,04/03/2020
0,0,Harlingen,72,15758,1,04/03/2020
0,0,Hattem,244,12173,1,04/03/2020
0,0,Heemskerk,396,39164,1,04/03/2020
0,0,Heemstede,397,27286,1,04/03/2020
0,0,Heerde,246,18546,1,04/03/2020
0,0,Heerenveen,74,50257,1,04/03/2020
0,0,Heerhugowaard,398,56742,1,04/03/2020
0,0,Heerlen,917,86832,1,04/03/2020
0,0,Heeze-Leende,"1,658",15964,1,04/03/2020
0,0,Heiloo,399,23464,1,04/03/2020
0,0,Hellendoorn,163,35808,1,04/03/2020
0,0,Hellevoetsluis,530,40049,1,04/03/2020
"0,437043835",4,Helmond,794,91524,1,04/03/2020
0,0,Hendrik-Ido-Ambacht,531,30966,1,04/03/2020
0,0,Hengelo (O),164,80683,1,04/03/2020
0,0,Het Hogeland,"1,966",47888,1,04/03/2020
0,0,Heumen,252,16486,1,04/03/2020
0,0,Heusden,797,44135,1,04/03/2020
0,0,Hillegom,534,21966,1,04/03/2020
0,0,Hilvarenbeek,798,15334,1,04/03/2020
0,0,Hilversum,402,90238,1,04/03/2020
"0,115398818",1,Hoeksche Waard,"1,963",86656,1,04/03/2020
0,0,Hof van Twente,"1,735",34940,1,04/03/2020
0,0,Hollands Kroon,"1,911",47815,1,04/03/2020
0,0,Hoogeveen,118,55662,1,04/03/2020
0,0,Hoorn,405,73004,1,04/03/2020
0,0,Horst aan de Maas,"1,507",42291,1,04/03/2020
"0,200356635",1,Houten,321,49911,1,04/03/2020
0,0,Huizen,406,41273,1,04/03/2020
0,0,Hulst,677,27524,1,04/03/2020
0,0,IJsselstein,353,34160,1,04/03/2020
0,0,Kaag en Braassem,"1,884",26866,1,04/03/2020
