dag;region;case;country
4-3-2020;Brandenburg;1;DE
4-3-2020;Berlin;7;DE
4-3-2020;Baden-Württemberg;50;DE
4-3-2020;Bayern;48;DE
4-3-2020;Bremen;3;DE
4-3-2020;Hessen;12;DE
4-3-2020;Hamburg;3;DE
4-3-2020;Mecklen-Vorpommern;4;DE
4-3-2020;Niedersachsen;7;DE
4-3-2020;Nordrhein-Westfalen;115;DE
4-3-2020;Rheinland-Pfalz;7;DE
4-3-2020;Saarland;1;DE
4-3-2020;Schleswig-Holstein;2;DE
4-3-2020;Sachsen;1;DE
4-3-2020;Thüringen;1;DE
5-3-2020;Brandenburg;1;DE
5-3-2020;Berlin;13;DE
5-3-2020;Baden-Württemberg;73;DE
5-3-2020;Bayern;70;DE
5-3-2020;Bremen;3;DE
5-3-2020;Hessen;13;DE
5-3-2020;Hamburg;5;DE
5-3-2020;Mecklen-Vorpommern;4;DE
5-3-2020;Niedersachsen;18;DE
5-3-2020;Nordrhein-Westfalen;181;DE
5-3-2020;Rheinland-Pfalz;8;DE
5-3-2020;Saarland;1;DE
5-3-2020;Schleswig-Holstein;7;DE
5-3-2020;Sachsen;1;DE
5-3-2020;Thüringen;1;DE
6-3-2020;Brandenburg;2;DE
6-3-2020;Berlin;19;DE
6-3-2020;Baden-Württemberg;96;DE
6-3-2020;Bayern;117;DE
6-3-2020;Bremen;4;DE
6-3-2020;Hessen;16;DE
6-3-2020;Hamburg;11;DE
6-3-2020;Mecklen-Vorpommern;5;DE
6-3-2020;Niedersachsen;18;DE
6-3-2020;Nordrhein-Westfalen;329;DE
6-3-2020;Rheinland-Pfalz;10;DE
6-3-2020;Saarland;2;DE
6-3-2020;Schleswig-Holstein;7;DE
6-3-2020;Sachsen;2;DE
6-3-2020;Thüringen;1;DE
7-3-2020;Baden-Württemberg;170;DE
7-3-2020;Bayern;134;DE
7-3-2020;Berlin;28;DE
7-3-2020;Brandenburg;2;DE
7-3-2020;Bremen;4;DE
7-3-2020;Hamburg;13;DE
7-3-2020;Hessen;17;DE
7-3-2020;Mecklen-Vorpommern;5;DE
7-3-2020;Niedersachsen;19;DE
7-3-2020;Nordrhein-Westfalen;373;DE
7-3-2020;Rheinland-Pfalz;13;DE
7-3-2020;Saarland;3;DE
7-3-2020;Sachsen;8;DE
7-3-2020;Schleswig-Holstein;4;DE
7-3-2020;Thüringen;2;DE
8-3-2020;Baden-Württemberg;182;DE
8-3-2020;Bayern;172;DE
8-3-2020;Berlin;40;DE
8-3-2020;Brandenburg;4;DE
8-3-2020;Bremen;4;DE
8-3-2020;Hamburg;13;DE
8-3-2020;Hessen;19;DE
8-3-2020;Mecklen-Vorpommern;8;DE
8-3-2020;Niedersachsen;21;DE
8-3-2020;Nordrhein-Westfalen;398;DE
8-3-2020;Rheinland-Pfalz;19;DE
8-3-2020;Saarland;9;DE
8-3-2020;Sachsen;4;DE
8-3-2020;Schleswig-Holstein;7;DE
8-3-2020;Thüringen;2;DE
9-3-2020;Baden-Württemberg;204;DE
9-3-2020;Bayern;256;DE
9-3-2020;Berlin;48;DE
9-3-2020;Brandenburg;6;DE
9-3-2020;Bremen;4;DE
9-3-2020;Hamburg;17;DE
9-3-2020;Hessen;26;DE
9-3-2020;Mecklen-Vorpommern;10;DE
9-3-2020;Niedersachsen;38;DE
9-3-2020;Nordrhein-Westfalen;484;DE
9-3-2020;Rheinland-Pfalz;17;DE
9-3-2020;Saarland;6;DE
9-3-2020;Sachsen;12;DE
9-3-2020;Schleswig-Holstein;9;DE
9-3-2020;Thüringen;2;DE
10-3-2020;Baden-Württemberg;237;DE
10-3-2020;Bayern;314;DE
10-3-2020;Berlin;48;DE
10-3-2020;Brandenburg;9;DE
10-3-2020;Bremen;4;DE
10-3-2020;Hamburg;29;DE
10-3-2020;Hessen;35;DE
10-3-2020;Mecklen-Vorpommern;13;DE
10-3-2020;Niedersachsen;49;DE
10-3-2020;Nordrhein-Westfalen;484;DE
10-3-2020;Rheinland-Pfalz;25;DE
10-3-2020;Saarland;7;DE
10-3-2020;Sachsen;22;DE
10-3-2020;Sachsen-Anhalt;7;DE
10-3-2020;Schleswig-Holstein;9;DE
10-3-2020;Thüringen;4;DE
11-3-2020;Baden-Württemberg;277;DE
11-3-2020;Bayern;366;DE
11-3-2020;Berlin;90;DE
11-3-2020;Brandenburg;24;DE
11-3-2020;Bremen;21;DE
11-3-2020;Hamburg;48;DE
11-3-2020;Hessen;48;DE
11-3-2020;Mecklen-Vorpommern;17;DE
11-3-2020;Niedersachsen;75;DE
11-3-2020;Nordrhein-Westfalen;484;DE
11-3-2020;Rheinland-Pfalz;25;DE
11-3-2020;Saarland;14;DE
11-3-2020;Sachsen;26;DE
11-3-2020;Sachsen-Anhalt;15;DE
11-3-2020;Schleswig-Holstein;27;DE
11-3-2020;Thüringen;10;DE
12-3-2020;Baden-Württemberg;454;DE
12-3-2020;Bayern;500;DE
12-3-2020;Berlin;137;DE
12-3-2020;Brandenburg;30;DE
12-3-2020;Bremen;38;DE
12-3-2020;Hamburg;88;DE
12-3-2020;Hessen;99;DE
12-3-2020;Mecklen-Vorpommern;23;DE
12-3-2020;Niedersachsen;129;DE
12-3-2020;Nordrhein-Westfalen;688;DE
12-3-2020;Rheinland-Pfalz;52;DE
12-3-2020;Saarland;14;DE
12-3-2020;Sachsen;45;DE
12-3-2020;Sachsen-Anhalt;27;DE
12-3-2020;Schleswig-Holstein;31;DE
12-3-2020;Thüringen;14;DE
13-3-2020;Baden-Württemberg;454;DE
13-3-2020;Bayern;558;DE
13-3-2020;Berlin;174;DE
13-3-2020;Brandenburg;44;DE
13-3-2020;Bremen;42;DE
13-3-2020;Hamburg;99;DE
13-3-2020;Hessen;148;DE
13-3-2020;Mecklen-Vorpommern;33;DE
13-3-2020;Niedersachsen;230;DE
13-3-2020;Nordrhein-Westfalen;936;DE
13-3-2020;Rheinland-Pfalz;102;DE
13-3-2020;Saarland;40;DE
13-3-2020;Sachsen;83;DE
13-3-2020;Sachsen-Anhalt;42;DE
13-3-2020;Schleswig-Holstein;48;DE
13-3-2020;Thüringen;29;DE
14-3-2020;Baden-Württemberg;569;DE
14-3-2020;Bayern;681;DE
14-3-2020;Berlin;216;DE
14-3-2020;Brandenburg;61;DE
14-3-2020;Bremen;50;DE
14-3-2020;Hamburg;158;DE
14-3-2020;Hessen;203;DE
14-3-2020;Mecklen-Vorpommern;45;DE
14-3-2020;Niedersachsen;253;DE
14-3-2020;Nordrhein-Westfalen;1154;DE
14-3-2020;Rheinland-Pfalz;121;DE
14-3-2020;Saarland;40;DE
14-3-2020;Sachsen;93;DE
