"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP","MEN","YR","A","2015",80.4,
"AUS","LIFEEXP","MEN","YR","A","2016",80.4,
"AUS","LIFEEXP","MEN","YR","A","2017",80.5,
"AUS","LIFEEXP","TOT","YR","A","2015",82.5,
"AUS","LIFEEXP","TOT","YR","A","2016",82.5,
"AUS","LIFEEXP","TOT","YR","A","2017",82.6,
"AUS","LIFEEXP","WOMEN","YR","A","2015",84.5,
"AUS","LIFEEXP","WOMEN","YR","A","2016",84.6,
"AUS","LIFEEXP","WOMEN","YR","A","2017",84.6,
"AUT","LIFEEXP","MEN","YR","A","2015",78.8,
"AUT","LIFEEXP","MEN","YR","A","2016",79.3,
"AUT","LIFEEXP","MEN","YR","A","2017",79.4,
"AUT","LIFEEXP","TOT","YR","A","2015",81.3,
"AUT","LIFEEXP","TOT","YR","A","2016",81.7,
"AUT","LIFEEXP","TOT","YR","A","2017",81.7,
"AUT","LIFEEXP","WOMEN","YR","A","2015",83.7,
"AUT","LIFEEXP","WOMEN","YR","A","2016",84.1,
"AUT","LIFEEXP","WOMEN","YR","A","2017",84,
"BEL","LIFEEXP","MEN","YR","A","2015",78.7,
"BEL","LIFEEXP","MEN","YR","A","2016",79,
"BEL","LIFEEXP","MEN","YR","A","2017",79.2,
"BEL","LIFEEXP","TOT","YR","A","2015",81.1,
"BEL","LIFEEXP","TOT","YR","A","2016",81.5,
"BEL","LIFEEXP","TOT","YR","A","2017",81.6,
"BEL","LIFEEXP","WOMEN","YR","A","2015",83.4,
"BEL","LIFEEXP","WOMEN","YR","A","2016",84,
"BEL","LIFEEXP","WOMEN","YR","A","2017",83.9,
"CAN","LIFEEXP","MEN","YR","A","2015",79.8,
"CAN","LIFEEXP","MEN","YR","A","2016",79.9,
"CAN","LIFEEXP","MEN","YR","A","2017",79.9,
"CAN","LIFEEXP","TOT","YR","A","2015",81.9,
"CAN","LIFEEXP","TOT","YR","A","2016",82,
"CAN","LIFEEXP","TOT","YR","A","2017",82,
