"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","1950",0.744,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","1960",0.852,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","1970",1.654,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","1980",3.252,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","1990",5.451,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","1995",6.478,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2000",7.492,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2001",7.539,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2002",9.025,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2003",9.177,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2004",9.308,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2005",9.517,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2006",9.736,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2007",10.611,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2008",10.796,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2009",11.3,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2010",11.653,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2011",12.682,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2012",14.416,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2013",16.047,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2014",17.476,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",18.803,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",19.27,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",19.27,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",19.27,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",19.27,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","1950",0.002,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","1960",0.002,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","1970",0.004,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","1980",0.019,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","1990",4.743,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","1995",4.957,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2000",5.084,
