Date;S&P Comp. P;Dividend;Earnings;CPI;Date Fraction;Long Interest Rate;Real Price;Real Dividend;Real Total Return Price;Real Earnings;Real TR Scaled Earnings;
1871,01;4,44;0,26;0,40;12,46;1871,04;5,32;92,27;5,40;92,27;8,31;8,31;
1871,02;4,50;0,26;0,40;12,84;1871,13;5,32;90,75;5,24;91,19;8,07;8,11;
1871,03;4,61;0,26;0,40;13,03;1871,21;5,33;91,61;5,17;92,48;7,95;8,02;
1871,04;4,74;0,26;0,40;12,56;1871,29;5,33;97,76;5,36;99,15;8,25;8,37;
1871,05;4,86;0,26;0,40;12,27;1871,38;5,33;102,57;5,49;104,48;8,44;8,60;
1871,06;4,82;0,26;0,40;12,08;1871,46;5,34;103,33;5,57;105,73;8,57;8,77;
1871,07;4,73;0,26;0,40;12,08;1871,54;5,34;101,40;5,57;104,23;8,57;8,81;
1871,08;4,79;0,26;0,40;11,89;1871,63;5,34;104,32;5,66;107,72;8,71;9,00;
1871,09;4,84;0,26;0,40;12,18;1871,71;5,35;102,94;5,53;106,77;8,51;8,82;
1871,1;4,59;0,26;0,40;12,37;1871,79;5,35;96,12;5,44;100,17;8,38;8,73;
1871,11;4,64;0,26;0,40;12,37;1871,88;5,35;97,17;5,44;101,74;8,38;8,77;
1871,12;4,74;0,26;0,40;12,65;1871,96;5,36;97,03;5,32;102,05;8,19;8,61;
1872,01;4,86;0,26;0,40;12,65;1872,04;5,36;99,48;5,39;105,10;8,24;8,70;
1872,02;4,88;0,27;0,41;12,65;1872,13;5,38;99,89;5,46;106,02;8,29;8,80;
1872,03;5,04;0,27;0,41;12,84;1872,21;5,40;101,64;5,44;108,35;8,22;8,76;
1872,04;5,18;0,27;0,41;13,13;1872,29;5,42;102,19;5,39;109,42;8,09;8,66;
1872,05;5,18;0,28;0,41;13,13;1872,38;5,43;102,19;5,46;109,91;8,14;8,75;
1872,06;5,13;0,28;0,42;13,03;1872,46;5,45;101,94;5,56;110,14;8,25;8,91;
1872,07;5,10;0,28;0,42;12,84;1872,54;5,47;102,85;5,71;111,63;8,42;9,14;
1872,08;5,04;0,29;0,42;12,94;1872,63;5,49;100,89;5,74;110,03;8,41;9,17;
1872,09;4,95;0,29;0,42;13,03;1872,71;5,51;98,37;5,76;107,80;8,40;9,20;
1872,1;4,97;0,29;0,43;12,75;1872,79;5,53;100,98;5,96;111,20;8,63;9,51;
1872,11;4,95;0,30;0,43;13,13;1872,88;5,54;97,65;5,85;108,08;8,43;9,33;
1872,12;5,07;0,30;0,43;12,94;1872,96;5,56;101,49;6,01;112,88;8,61;9,57;
1873,01;5,11;0,30;0,43;12,94;1873,04;5,58;102,29;6,06;114,33;8,66;9,68;
1873,02;5,15;0,31;0,44;13,23;1873,13;5,57;100,87;5,97;113,30;8,52;9,57;
1873,03;5,11;0,31;0,44;13,23;1873,21;5,56;100,09;6,02;112,98;8,57;9,67;
1873,04;5,04;0,31;0,44;13,23;1873,29;5,55;98,71;6,07;112,01;8,62;9,78;
1873,05;5,05;0,31;0,44;12,94;1873,38;5,54;101,09;6,26;115,29;8,86;10,10;
1873,06;4,98;0,32;0,45;12,56;1873,46;5,53;102,71;6,50;117,76;9,18;10,52;
1873,07;4,97;0,32;0,45;12,56;1873,54;5,53;102,51;6,55;118,15;9,23;10,64;
1873,08;4,97;0,32;0,45;12,56;1873,63;5,52;102,51;6,60;118,78;9,28;10,75;
1873,09;4,59;0,32;0,45;12,56;1873,71;5,51;94,67;6,65;110,34;9,33;10,88;
1873,1;4,19;0,33;0,46;12,27;1873,79;5,50;88,43;6,86;103,74;9,60;11,26;
1873,11;4,04;0,33;0,46;11,89;1873,88;5,49;87,99;7,13;103,92;9,96;11,77;
1873,12;4,42;0,33;0,46;12,18;1873,96;5,48;94,01;7,02;111,72;9,78;11,63;
1874,01;4,66;0,33;0,46;12,37;1874,04;5,47;97,59;6,91;116,66;9,63;11,52;
