"","NUTS_CODE","Date","montant"
"1","BE1",2020-02-04,1
"2","BE1",2020-03-01,1
"3","BE1",2020-03-02,2
"4","BE1",2020-03-03,3
"5","BE1",2020-03-04,3
"6","BE1",2020-03-05,5
"7","BE1",2020-03-06,9
"8","BE1",2020-03-07,14
"9","BE1",2020-03-08,22
"10","BE1",2020-03-09,29
"11","BE1",2020-03-10,32
"12","BE1",2020-03-11,39
"13","BE1",2020-03-12,42
"14","BE1",2020-03-13,50
"15","BE1",2020-03-14,55
"16","BE1",2020-03-15,82
"17","BE1",2020-03-16,99
"18","BE1",2020-03-17,132
"19","BE2",2020-02-04,0
"20","BE2",2020-03-01,1
"21","BE2",2020-03-02,6
"22","BE2",2020-03-03,8
"23","BE2",2020-03-04,10
"24","BE2",2020-03-05,26
"25","BE2",2020-03-06,40
"26","BE2",2020-03-07,80
"27","BE2",2020-03-08,96
"28","BE2",2020-03-09,118
"29","BE2",2020-03-10,135
"30","BE2",2020-03-11,164
"31","BE2",2020-03-12,230
"32","BE2",2020-03-13,291
"33","BE2",2020-03-14,413
"34","BE2",2020-03-15,550
"35","BE2",2020-03-16,630
"36","BE2",2020-03-17,748
"37","BE3",2020-02-04,0
"38","BE3",2020-03-01,0
"39","BE3",2020-03-02,0
"40","BE3",2020-03-03,2
"41","BE3",2020-03-04,2
"42","BE3",2020-03-05,11
"43","BE3",2020-03-06,11
"44","BE3",2020-03-07,26
"45","BE3",2020-03-08,33
"46","BE3",2020-03-09,43
"47","BE3",2020-03-10,51
"48","BE3",2020-03-11,62
"49","BE3",2020-03-12,78
"50","BE3",2020-03-13,162
"51","BE3",2020-03-14,168
"52","BE3",2020-03-15,196
"53","BE3",2020-03-16,264
"54","BE3",2020-03-17,300
