"","NUTS_CODE","Date","montant"
"1","DE1",2020-03-07,170
"2","DE1",2020-03-15,827
"3","DE1",2020-03-16,1105
"4","DE1",2020-03-04,50
"5","DE1",2020-03-06,96
"6","DE1",2020-03-13,454
"7","DE1",2020-03-10,237
"8","DE1",2020-03-09,204
"9","DE1",2020-03-11,277
"10","DE1",2020-03-14,569
"11","DE1",2020-03-05,73
"12","DE1",2020-03-12,454
"13","DE1",2020-03-08,182
"14","DE2",2020-03-06,117
"15","DE2",2020-03-07,134
"16","DE2",2020-03-10,314
"17","DE2",2020-03-11,366
"18","DE2",2020-03-16,1067
"19","DE2",2020-03-12,500
"20","DE2",2020-03-13,558
"21","DE2",2020-03-09,256
"22","DE2",2020-03-08,172
"23","DE2",2020-03-14,681
"24","DE2",2020-03-05,70
"25","DE2",2020-03-15,886
"26","DE2",2020-03-04,48
"27","DE3",2020-03-04,7
"28","DE3",2020-03-07,28
"29","DE3",2020-03-06,19
"30","DE3",2020-03-11,90
"31","DE3",2020-03-05,13
"32","DE3",2020-03-15,265
"33","DE3",2020-03-14,216
"34","DE3",2020-03-13,174
"35","DE3",2020-03-08,40
"36","DE3",2020-03-12,137
"37","DE3",2020-03-10,48
"38","DE3",2020-03-09,48
"39","DE3",2020-03-16,300
"40","DE4",2020-03-04,1
"41","DE4",2020-03-15,84
"42","DE4",2020-03-05,1
"43","DE4",2020-03-11,24
"44","DE4",2020-03-06,2
"45","DE4",2020-03-12,30
"46","DE4",2020-03-08,4
"47","DE4",2020-03-14,61
"48","DE4",2020-03-07,2
"49","DE4",2020-03-10,9
"50","DE4",2020-03-09,6
"51","DE4",2020-03-16,94
"52","DE4",2020-03-13,44
"53","DE5",2020-03-04,3
"54","DE5",2020-03-07,4
"55","DE5",2020-03-10,4
"56","DE5",2020-03-12,38
"57","DE5",2020-03-09,4
"58","DE5",2020-03-11,21
"59","DE5",2020-03-15,53
"60","DE5",2020-03-05,3
"61","DE5",2020-03-06,4
"62","DE5",2020-03-13,42
"63","DE5",2020-03-08,4
"64","DE5",2020-03-14,50
"65","DE5",2020-03-16,56
"66","DE6",2020-03-12,88
"67","DE6",2020-03-05,5
"68","DE6",2020-03-10,29
"69","DE6",2020-03-08,13
"70","DE6",2020-03-15,162
"71","DE6",2020-03-14,158
"72","DE6",2020-03-11,48
"73","DE6",2020-03-13,99
"74","DE6",2020-03-04,3
"75","DE6",2020-03-06,11
"76","DE6",2020-03-09,17
"77","DE6",2020-03-07,13
"78","DE6",2020-03-16,260
"79","DE7",2020-03-16,342
"80","DE7",2020-03-13,148
"81","DE7",2020-03-14,203
"82","DE7",2020-03-11,48
"83","DE7",2020-03-10,35
"84","DE7",2020-03-15,286
"85","DE7",2020-03-09,26
"86","DE7",2020-03-06,16
"87","DE7",2020-03-04,12
"88","DE7",2020-03-12,99
"89","DE7",2020-03-05,13
"90","DE7",2020-03-08,19
"91","DE7",2020-03-07,17
"92","DE8",2020-03-12,23
"93","DE8",2020-03-10,13
"94","DE8",2020-03-07,5
"95","DE8",2020-03-14,45
"96","DE8",2020-03-13,33
"97","DE8",2020-03-04,4
"98","DE8",2020-03-15,50
"99","DE8",2020-03-08,8
"100","DE8",2020-03-09,10
"101","DE8",2020-03-06,5
"102","DE8",2020-03-16,51
"103","DE8",2020-03-05,4
"104","DE8",2020-03-11,17
"105","DE9",2020-03-09,38
"106","DE9",2020-03-04,7
"107","DE9",2020-03-07,19
"108","DE9",2020-03-13,230
"109","DE9",2020-03-08,21
"110","DE9",2020-03-06,18
"111","DE9",2020-03-11,75
"112","DE9",2020-03-10,49
"113","DE9",2020-03-15,287
"114","DE9",2020-03-14,253
"115","DE9",2020-03-16,391
"116","DE9",2020-03-05,18
"117","DE9",2020-03-12,129
"118","DEA",2020-03-09,484
"119","DEA",2020-03-12,688
"120","DEA",2020-03-06,329
"121","DEA",2020-03-07,373
"122","DEA",2020-03-13,936
"123","DEA",2020-03-08,398
"124","DEA",2020-03-14,1154
"125","DEA",2020-03-04,115
"126","DEA",2020-03-10,484
"127","DEA",2020-03-15,1407
"128","DEA",2020-03-16,1541
"129","DEA",2020-03-11,484
"130","DEA",2020-03-05,181
"131","DEB",2020-03-14,121
"132","DEB",2020-03-10,25
"133","DEB",2020-03-12,52
"134","DEB",2020-03-06,10
"135","DEB",2020-03-09,17
"136","DEB",2020-03-05,8
"137","DEB",2020-03-04,7
"138","DEB",2020-03-08,19
"139","DEB",2020-03-07,13
"140","DEB",2020-03-13,102
"141","DEB",2020-03-15,168
"142","DEB",2020-03-11,25
"143","DEB",2020-03-16,325
"144","DEC",2020-03-06,2
"145","DEC",2020-03-15,32
"146","DEC",2020-03-09,6
"147","DEC",2020-03-12,14
"148","DEC",2020-03-05,1
"149","DEC",2020-03-07,3
"150","DEC",2020-03-04,1
"151","DEC",2020-03-10,7
"152","DEC",2020-03-08,9
"153","DEC",2020-03-14,40
"154","DEC",2020-03-13,40
"155","DEC",2020-03-16,85
"156","DEC",2020-03-11,14
"157","DED",2020-03-13,83
"158","DED",2020-03-09,12
"159","DED",2020-03-10,22
"160","DED",2020-03-15,130
"161","DED",2020-03-16,140
"162","DED",2020-03-12,45
"163","DED",2020-03-07,8
"164","DED",2020-03-06,2
"165","DED",2020-03-14,93
"166","DED",2020-03-05,1
"167","DED",2020-03-11,26
"168","DED",2020-03-04,1
"169","DED",2020-03-08,4
"170","DEE",2020-03-13,42
"171","DEE",2020-03-10,7
"172","DEE",2020-03-14,45
"173","DEE",2020-03-11,15
"174","DEE",2020-03-16,77
"175","DEE",2020-03-15,47
"176","DEE",2020-03-12,27
"177","DEF",2020-03-14,60
"178","DEF",2020-03-08,7
"179","DEF",2020-03-05,7
"180","DEF",2020-03-04,2
"181","DEF",2020-03-11,27
"182","DEF",2020-03-13,48
"183","DEF",2020-03-12,31
"184","DEF",2020-03-09,9
"185","DEF",2020-03-06,7
"186","DEF",2020-03-15,103
"187","DEF",2020-03-16,123
"188","DEF",2020-03-10,9
"189","DEF",2020-03-07,4
"190","DEG",2020-03-06,1
"191","DEG",2020-03-09,2
"192","DEG",2020-03-13,29
"193","DEG",2020-03-15,51
"194","DEG",2020-03-14,46
"195","DEG",2020-03-11,10
"196","DEG",2020-03-16,55
"197","DEG",2020-03-05,1
"198","DEG",2020-03-12,14
"199","DEG",2020-03-07,2
"200","DEG",2020-03-10,4
"201","DEG",2020-03-08,2
"202","DEG",2020-03-04,1
