"","NUTS_CODE","Date","montant"
"1","FR1",2020-03-04,55
"2","FR1",2020-03-05,76
"3","FR1",2020-03-06,89
"4","FR1",2020-03-07,104
"5","FR1",2020-03-10,468
"6","FR1",2020-03-11,492
"7","FR1",2020-03-12,577
"8","FR1",2020-03-13,721
"9","FR1",2020-03-14,949
"10","FR1",2020-03-15,1209
"11","FR1",2020-03-16,1762
"12","FR1",2020-03-17,2177
"13","FRB",2020-03-04,0
"14","FRB",2020-03-05,2
"15","FRB",2020-03-06,11
"16","FRB",2020-03-07,16
"17","FRB",2020-03-10,19
"18","FRB",2020-03-11,20
"19","FRB",2020-03-12,30
"20","FRB",2020-03-13,33
"21","FRB",2020-03-14,54
"22","FRB",2020-03-15,71
"23","FRB",2020-03-16,90
"24","FRB",2020-03-17,103
"25","FRC",2020-03-04,16
"26","FRC",2020-03-05,39
"27","FRC",2020-03-06,78
"28","FRC",2020-03-07,129
"29","FRC",2020-03-10,123
"30","FRC",2020-03-11,155
"31","FRC",2020-03-12,219
"32","FRC",2020-03-13,272
"33","FRC",2020-03-14,339
"34","FRC",2020-03-15,412
"35","FRC",2020-03-16,507
"36","FRC",2020-03-17,549
"37","FRD",2020-03-04,2
"38","FRD",2020-03-05,6
"39","FRD",2020-03-06,11
"40","FRD",2020-03-07,11
"41","FRD",2020-03-10,40
"42","FRD",2020-03-11,54
"43","FRD",2020-03-12,68
"44","FRD",2020-03-13,97
"45","FRD",2020-03-14,127
"46","FRD",2020-03-15,143
"47","FRD",2020-03-16,156
"48","FRD",2020-03-17,174
"49","FRE",2020-03-04,65
"50","FRE",2020-03-05,74
"51","FRE",2020-03-06,97
"52","FRE",2020-03-07,173
"53","FRE",2020-03-10,249
"54","FRE",2020-03-11,263
"55","FRE",2020-03-12,349
"56","FRE",2020-03-13,397
"57","FRE",2020-03-14,466
"58","FRE",2020-03-15,507
"59","FRE",2020-03-16,585
"60","FRE",2020-03-17,612
"61","FRF",2020-03-04,38
"62","FRF",2020-03-05,77
"63","FRF",2020-03-06,136
"64","FRF",2020-03-07,250
"65","FRF",2020-03-10,489
"66","FRF",2020-03-11,578
"67","FRF",2020-03-12,699
"68","FRF",2020-03-13,911
"69","FRF",2020-03-14,1085
"70","FRF",2020-03-15,1378
"71","FRF",2020-03-16,1543
"72","FRF",2020-03-17,1820
"73","FRG",2020-03-04,7
"74","FRG",2020-03-05,8
"75","FRG",2020-03-06,16
"76","FRG",2020-03-07,18
"77","FRG",2020-03-10,31
"78","FRG",2020-03-11,34
"79","FRG",2020-03-12,41
"80","FRG",2020-03-13,55
"81","FRG",2020-03-14,82
"82","FRG",2020-03-15,98
"83","FRG",2020-03-16,108
"84","FRG",2020-03-17,126
"85","FRH",2020-03-04,23
"86","FRH",2020-03-05,29
"87","FRH",2020-03-06,32
"88","FRH",2020-03-07,40
"89","FRH",2020-03-10,83
"90","FRH",2020-03-11,94
"91","FRH",2020-03-12,117
"92","FRH",2020-03-13,155
"93","FRH",2020-03-14,182
"94","FRH",2020-03-15,207
"95","FRH",2020-03-16,233
"96","FRH",2020-03-17,247
"97","FRI",2020-03-04,5
"98","FRI",2020-03-05,8
"99","FRI",2020-03-06,11
"100","FRI",2020-03-07,17
"101","FRI",2020-03-10,57
"102","FRI",2020-03-11,66
"103","FRI",2020-03-12,87
"104","FRI",2020-03-13,114
"105","FRI",2020-03-14,130
"106","FRI",2020-03-15,144
"107","FRI",2020-03-16,178
"108","FRI",2020-03-17,200
"109","FRJ",2020-03-04,9
"110","FRJ",2020-03-05,11
"111","FRJ",2020-03-06,18
"112","FRJ",2020-03-07,36
"113","FRJ",2020-03-10,70
"114","FRJ",2020-03-11,87
"115","FRJ",2020-03-12,133
"116","FRJ",2020-03-13,172
"117","FRJ",2020-03-14,214
"118","FRJ",2020-03-15,243
"119","FRJ",2020-03-16,262
"120","FRJ",2020-03-17,311
"121","FRK",2020-03-04,49
"122","FRK",2020-03-05,64
"123","FRK",2020-03-06,75
"124","FRK",2020-03-07,102
"125","FRK",2020-03-10,249
"126","FRK",2020-03-11,264
"127","FRK",2020-03-12,329
"128","FRK",2020-03-13,416
"129","FRK",2020-03-14,454
"130","FRK",2020-03-15,523
"131","FRK",2020-03-16,618
"132","FRK",2020-03-17,710
"133","FRL",2020-03-04,13
"134","FRL",2020-03-05,18
"135","FRL",2020-03-06,26
"136","FRL",2020-03-07,38
"137","FRL",2020-03-10,110
"138","FRL",2020-03-11,111
"139","FRL",2020-03-12,147
"140","FRL",2020-03-13,212
"141","FRL",2020-03-14,281
"142","FRL",2020-03-15,330
"143","FRL",2020-03-16,405
"144","FRL",2020-03-17,478
"145","FRM",2020-03-04,0
"146","FRM",2020-03-05,3
"147","FRM",2020-03-06,3
"148","FRM",2020-03-07,5
"149","FRM",2020-03-10,42
"150","FRM",2020-03-11,51
"151","FRM",2020-03-12,64
"152","FRM",2020-03-13,85
"153","FRM",2020-03-14,106
"154","FRM",2020-03-15,115
"155","FRM",2020-03-16,126
"156","FRM",2020-03-17,145
"157","FRY",2020-03-04,3
"158","FRY",2020-03-05,8
"159","FRY",2020-03-06,10
"160","FRY",2020-03-07,10
"161","FRY",2020-03-10,11
"162","FRY",2020-03-11,12
"163","FRY",2020-03-12,16
"164","FRY",2020-03-13,21
"165","FRY",2020-03-14,30
"166","FRY",2020-03-15,43
"167","FRY",2020-03-16,60
"168","FRY",2020-03-17,78
