"","Date","NUTS_CODE","montant"
"1",2020-02-24,"ITC",175
"2",2020-02-24,"ITF",0
"3",2020-02-24,"ITG",0
"4",2020-02-24,"ITH",51
"5",2020-02-24,"ITI",3
"6",2020-02-25,"ITC",244
"7",2020-02-25,"ITF",0
"8",2020-02-25,"ITG",3
"9",2020-02-25,"ITH",70
"10",2020-02-25,"ITI",5
"11",2020-02-26,"ITC",272
"12",2020-02-26,"ITF",0
"13",2020-02-26,"ITG",3
"14",2020-02-26,"ITH",119
"15",2020-02-26,"ITI",6
"16",2020-02-27,"ITC",424
"17",2020-02-27,"ITF",5
"18",2020-02-27,"ITG",4
"19",2020-02-27,"ITH",209
"20",2020-02-27,"ITI",8
"21",2020-02-28,"ITC",561
"22",2020-02-28,"ITF",9
"23",2020-02-28,"ITG",4
"24",2020-02-28,"ITH",297
"25",2020-02-28,"ITI",17
"26",2020-02-29,"ITC",668
"27",2020-02-29,"ITF",19
"28",2020-02-29,"ITG",4
"29",2020-02-29,"ITH",409
"30",2020-02-29,"ITI",28
"31",2020-03-01,"ITC",1058
"32",2020-03-01,"ITF",26
"33",2020-03-01,"ITG",9
"34",2020-03-01,"ITH",555
"35",2020-03-01,"ITI",46
"36",2020-03-02,"ITC",1327
"37",2020-03-02,"ITF",27
"38",2020-03-02,"ITG",7
"39",2020-03-02,"ITH",618
"40",2020-03-02,"ITI",57
"41",2020-03-03,"ITC",1600
"42",2020-03-03,"ITF",47
"43",2020-03-03,"ITG",8
"44",2020-03-03,"ITH",745
"45",2020-03-03,"ITI",102
"46",2020-03-04,"ITC",1928
"47",2020-03-04,"ITF",52
"48",2020-03-04,"ITG",20
"49",2020-03-04,"ITH",928
"50",2020-03-04,"ITI",161
"51",2020-03-05,"ITC",2389
"52",2020-03-05,"ITF",77
"53",2020-03-05,"ITG",20
"54",2020-03-05,"ITH",1134
"55",2020-03-05,"ITI",238
"56",2020-03-06,"ITC",2794
"57",2020-03-06,"ITF",102
"58",2020-03-06,"ITG",29
"59",2020-03-06,"ITH",1403
"60",2020-03-06,"ITI",308
"61",2020-03-07,"ITC",3686
"62",2020-03-07,"ITF",119
"63",2020-03-07,"ITG",40
"64",2020-03-07,"ITH",1618
"65",2020-03-07,"ITI",420
"66",2020-03-08,"ITC",4636
"67",2020-03-08,"ITF",185
"68",2020-03-08,"ITG",64
"69",2020-03-08,"ITH",1939
"70",2020-03-08,"ITI",551
"71",2020-03-09,"ITC",5943
"72",2020-03-09,"ITF",230
"73",2020-03-09,"ITG",73
"74",2020-03-09,"ITH",2265
"75",2020-03-09,"ITI",661
"76",2020-03-10,"ITC",6402
"77",2020-03-10,"ITF",259
"78",2020-03-10,"ITG",82
"79",2020-03-10,"ITH",2595
"80",2020-03-10,"ITI",811
"81",2020-03-11,"ITC",7995
"82",2020-03-11,"ITF",312
"83",2020-03-11,"ITG",120
"84",2020-03-11,"ITH",3040
"85",2020-03-11,"ITI",995
"86",2020-03-12,"ITC",9606
"87",2020-03-12,"ITF",424
"88",2020-03-12,"ITG",154
"89",2020-03-12,"ITH",3709
"90",2020-03-12,"ITI",1220
"91",2020-03-13,"ITC",11033
"92",2020-03-13,"ITF",503
"93",2020-03-13,"ITG",173
"94",2020-03-13,"ITH",4403
"95",2020-03-13,"ITI",1548
"96",2020-03-14,"ITC",13063
"97",2020-03-14,"ITF",637
"98",2020-03-14,"ITG",203
"99",2020-03-14,"ITH",5261
"100",2020-03-14,"ITI",1993
"101",2020-03-15,"ITC",14999
"102",2020-03-15,"ITF",796
"103",2020-03-15,"ITG",265
"104",2020-03-15,"ITH",6194
"105",2020-03-15,"ITI",2493
"106",2020-03-16,"ITC",16937
"107",2020-03-16,"ITF",928
"108",2020-03-16,"ITG",320
"109",2020-03-16,"ITH",7000
"110",2020-03-16,"ITI",2795
"111",2020-03-17,"ITC",19031
"112",2020-03-17,"ITF",1188
"113",2020-03-17,"ITG",354
"114",2020-03-17,"ITH",7705
"115",2020-03-17,"ITI",3228
"116",2020-03-18,"ITC",21106
"117",2020-03-18,"ITF",1290
"118",2020-03-18,"ITG",416
"119",2020-03-18,"ITH",9032
"120",2020-03-18,"ITI",3869
"121",2020-03-19,"ITC",24090
"122",2020-03-19,"ITF",1767
"123",2020-03-19,"ITG",546
"124",2020-03-19,"ITH",10256
"125",2020-03-19,"ITI",4376
"126",2020-03-20,"ITC",27210
"127",2020-03-20,"ITF",2088
"128",2020-03-20,"ITG",701
"129",2020-03-20,"ITH",11845
"130",2020-03-20,"ITI",5177
"131",2020-03-21,"ITC",31016
"132",2020-03-21,"ITF",2410
"133",2020-03-21,"ITG",820
"134",2020-03-21,"ITH",13515
"135",2020-03-21,"ITI",5817
"136",2020-03-22,"ITC",33655
"137",2020-03-22,"ITF",2729
"138",2020-03-22,"ITG",969
"139",2020-03-22,"ITH",15183
"140",2020-03-22,"ITI",6602
"141",2020-03-23,"ITC",35939
"142",2020-03-23,"ITF",3044
"143",2020-03-23,"ITG",1080
"144",2020-03-23,"ITH",16717
"145",2020-03-23,"ITI",7147
"146",2020-03-24,"ITC",38734
"147",2020-03-24,"ITF",3279
"148",2020-03-24,"ITG",1267
"149",2020-03-24,"ITH",18085
"150",2020-03-24,"ITI",7811
"151",2020-03-25,"ITC",41076
"152",2020-03-25,"ITF",3642
"153",2020-03-25,"ITG",1436
"154",2020-03-25,"ITH",19715
"155",2020-03-25,"ITI",8517
