"","NUTS","Date","montant"
"1","NL1",2020-03-17,40
"2","NL1",2020-03-18,53
"3","NL1",2020-03-19,71
"4","NL2",2020-03-17,242
"5","NL2",2020-03-18,298
"6","NL2",2020-03-19,349
"7","NL3",2020-03-17,519
"8","NL3",2020-03-18,628
"9","NL3",2020-03-19,815
"10","NL4",2020-03-17,831
"11","NL4",2020-03-18,986
"12","NL4",2020-03-19,1133
"13","NL1",2020-03-04,2
"14","NL1",2020-03-05,3
"15","NL1",2020-03-06,3
"16","NL1",2020-03-07,3
"17","NL1",2020-03-08,8
"18","NL1",2020-03-09,10
"19","NL1",2020-03-10,14
"20","NL1",2020-03-11,15
"21","NL1",2020-03-12,21
"22","NL1",2020-03-13,23
"23","NL1",2020-03-14,26
"24","NL1",2020-03-15,33
"25","NL1",2020-03-16,38
"26","NL2",2020-03-04,1
"27","NL2",2020-03-05,4
"28","NL2",2020-03-06,13
"29","NL2",2020-03-07,19
"30","NL2",2020-03-08,37
"31","NL2",2020-03-09,39
"32","NL2",2020-03-10,42
"33","NL2",2020-03-11,51
"34","NL2",2020-03-12,64
"35","NL2",2020-03-13,89
"36","NL2",2020-03-14,113
"37","NL2",2020-03-15,147
"38","NL2",2020-03-16,193
"39","NL3",2020-03-04,17
"40","NL3",2020-03-05,44
"41","NL3",2020-03-06,65
"42","NL3",2020-03-07,94
"43","NL3",2020-03-08,109
"44","NL3",2020-03-09,113
"45","NL3",2020-03-10,135
"46","NL3",2020-03-11,165
"47","NL3",2020-03-12,196
"48","NL3",2020-03-13,236
"49","NL3",2020-03-14,275
"50","NL3",2020-03-15,321
"51","NL3",2020-03-16,408
"52","NL4",2020-03-04,17
"53","NL4",2020-03-05,26
"54","NL4",2020-03-06,43
"55","NL4",2020-03-07,68
"56","NL4",2020-03-08,109
"57","NL4",2020-03-09,158
"58","NL4",2020-03-10,189
"59","NL4",2020-03-11,266
"60","NL4",2020-03-12,319
"61","NL4",2020-03-13,427
"62","NL4",2020-03-14,507
"63","NL4",2020-03-15,575
"64","NL4",2020-03-16,703
