"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SMOKERS","TOT","PC_POP15","A","2016",12.4,
"CAN","SMOKERS","TOT","PC_POP15","A","2015",13.1,"B"
"CAN","SMOKERS","TOT","PC_POP15","A","2016",12.5,
"CAN","SMOKERS","TOT","PC_POP15","A","2017",12,
"CZE","SMOKERS","TOT","PC_POP15","A","2015",18.2,
"CZE","SMOKERS","TOT","PC_POP15","A","2016",19.6,
"CZE","SMOKERS","TOT","PC_POP15","A","2017",18.4,
"DNK","SMOKERS","TOT","PC_POP15","A","2017",16.9,
"FIN","SMOKERS","TOT","PC_POP15","A","2015",17.4,
"FIN","SMOKERS","TOT","PC_POP15","A","2016",15,
"FIN","SMOKERS","TOT","PC_POP15","A","2017",13,
"FIN","SMOKERS","TOT","PC_POP15","A","2018",14,
"DEU","SMOKERS","TOT","PC_POP15","A","2017",18.8,
"ISL","SMOKERS","TOT","PC_POP15","A","2015",10.9,"D"
"ISL","SMOKERS","TOT","PC_POP15","A","2016",10.2,"D"
"ISL","SMOKERS","TOT","PC_POP15","A","2017",9.4,"D"
"ISL","SMOKERS","TOT","PC_POP15","A","2018",8.6,"D"
"IRL","SMOKERS","TOT","PC_POP15","A","2015",19,"B"
"IRL","SMOKERS","TOT","PC_POP15","A","2016",19,
"IRL","SMOKERS","TOT","PC_POP15","A","2017",18,
"IRL","SMOKERS","TOT","PC_POP15","A","2018",17,
"ITA","SMOKERS","TOT","PC_POP15","A","2015",19.8,
"ITA","SMOKERS","TOT","PC_POP15","A","2016",20,
"ITA","SMOKERS","TOT","PC_POP15","A","2017",19.9,
"JPN","SMOKERS","TOT","PC_POP15","A","2015",18.2,
"JPN","SMOKERS","TOT","PC_POP15","A","2016",18.3,
"JPN","SMOKERS","TOT","PC_POP15","A","2017",17.7,
"KOR","SMOKERS","TOT","PC_POP15","A","2015",17.3,
"KOR","SMOKERS","TOT","PC_POP15","A","2016",18.4,
"KOR","SMOKERS","TOT","PC_POP15","A","2017",17.5,
"LUX","SMOKERS","TOT","PC_POP15","A","2015",15,
"LUX","SMOKERS","TOT","PC_POP15","A","2016",14.9,
"LUX","SMOKERS","TOT","PC_POP15","A","2017",16,
"LUX","SMOKERS","TOT","PC_POP15","A","2018",14.5,
"MEX","SMOKERS","TOT","PC_POP15","A","2015",7.6,
"MEX","SMOKERS","TOT","PC_POP15","A","2017",7.6,"D"
"NLD","SMOKERS","TOT","PC_POP15","A","2015",19,
"NLD","SMOKERS","TOT","PC_POP15","A","2016",18,
"NLD","SMOKERS","TOT","PC_POP15","A","2017",16.8,
"NZL","SMOKERS","TOT","PC_POP15","A","2015",15,
"NZL","SMOKERS","TOT","PC_POP15","A","2016",14.2,
"NZL","SMOKERS","TOT","PC_POP15","A","2017",13.8,
"NZL","SMOKERS","TOT","PC_POP15","A","2018",13.1,"P"
"NOR","SMOKERS","TOT","PC_POP15","A","2015",13,
"NOR","SMOKERS","TOT","PC_POP15","A","2016",12,
"NOR","SMOKERS","TOT","PC_POP15","A","2017",11,
"NOR","SMOKERS","TOT","PC_POP15","A","2018",12,
"ESP","SMOKERS","TOT","PC_POP15","A","2017",22.1,
"SWE","SMOKERS","TOT","PC_POP15","A","2015",11.2,
"SWE","SMOKERS","TOT","PC_POP15","A","2016",10.9,
"SWE","SMOKERS","TOT","PC_POP15","A","2017",10.4,
"CHE","SMOKERS","TOT","PC_POP15","A","2017",19.1,
"TUR","SMOKERS","TOT","PC_POP15","A","2016",26.5,
"GBR","SMOKERS","TOT","PC_POP15","A","2015",17.8,
"GBR","SMOKERS","TOT","PC_POP15","A","2016",16.1,
"GBR","SMOKERS","TOT","PC_POP15","A","2017",17.2,
"USA","SMOKERS","TOT","PC_POP15","A","2015",11.4,
"USA","SMOKERS","TOT","PC_POP15","A","2016",11.8,
"USA","SMOKERS","TOT","PC_POP15","A","2017",10.5,
"BRA","SMOKERS","TOT","PC_POP15","A","2015",7.2,
"BRA","SMOKERS","TOT","PC_POP15","A","2016",10.2,
"BRA","SMOKERS","TOT","PC_POP15","A","2017",10.1,
"CHL","SMOKERS","TOT","PC_POP15","A","2016",24.5,
"CHN","SMOKERS","TOT","PC_POP15","A","2015",24.7,
"EST","SMOKERS","TOT","PC_POP15","A","2016",21.3,
"EST","SMOKERS","TOT","PC_POP15","A","2018",17.2,
"IND","SMOKERS","TOT","PC_POP15","A","2015",11.2,
"IDN","SMOKERS","TOT","PC_POP15","A","2015",39.9,
"ISR","SMOKERS","TOT","PC_POP15","A","2016",19.6,"B"
"ISR","SMOKERS","TOT","PC_POP15","A","2017",16.9,
"RUS","SMOKERS","TOT","PC_POP15","A","2016",30.3,"B"
"ZAF","SMOKERS","TOT","PC_POP15","A","2015",19,
"CRI","SMOKERS","TOT","PC_POP15","A","2015",5.8,
"CRI","SMOKERS","TOT","PC_POP15","A","2016",5.2,
"CRI","SMOKERS","TOT","PC_POP15","A","2017",4.7,
"CRI","SMOKERS","TOT","PC_POP15","A","2018",4.2,
