"","numero","municipalite","montant","habitants","montantparhabitant","Date"
"1","518","'s-Gravenhage","21","537833","3.9","18 maart 2020"
"2","796","'s-Hertogenbosch","30","154205","19.5","18 maart 2020"
"3","1680","Aa en Hunze","0","25386","0","18 maart 2020"
"4","358","Aalsmeer","3","31728","9.5","18 maart 2020"
"5","197","Aalten","0","27011","0","18 maart 2020"
"6","59","Achtkarspelen","0","27852","0","18 maart 2020"
"7","482","Alblasserdam","1","20069","5","18 maart 2020"
"8","613","Albrandswaard","4","25271","15.8","18 maart 2020"
"9","361","Alkmaar","5","108558","4.6","18 maart 2020"
"10","141","Almelo","1","72849","1.4","18 maart 2020"
"11","34","Almere","4","207904","1.9","18 maart 2020"
"12","484","Alphen aan den Rijn","9","110986","8.1","18 maart 2020"
"13","1723","Alphen-Chaam","6","10149","59.1","18 maart 2020"
"14","1959","Altena","15","55386","27.1","18 maart 2020"
"15","60","Ameland","0","3673","0","18 maart 2020"
"16","307","Amersfoort","23","156286","14.7","18 maart 2020"
"17","362","Amstelveen","7","90838","7.7","18 maart 2020"
"18","363","Amsterdam","61","862965","7.1","18 maart 2020"
"19","200","Apeldoorn","10","162445","6.2","18 maart 2020"
"20","3","Appingedam","0","11721","0","18 maart 2020"
"21","202","Arnhem","9","159265","5.7","18 maart 2020"
"22","106","Assen","0","67963","0","18 maart 2020"
"23","743","Asten","2","16710","12","18 maart 2020"
"24","744","Baarle-Nassau","0","6847","0","18 maart 2020"
"25","308","Baarn","0","24767","0","18 maart 2020"
"26","489","Barendrecht","3","48673","6.2","18 maart 2020"
"27","203","Barneveld","5","57971","8.6","18 maart 2020"
"28","888","Beek","3","15929","18.8","18 maart 2020"
"29","1954","Beekdaelen","18","35727","50.4","18 maart 2020"
"30","370","Beemster","0","9748","0","18 maart 2020"
"31","889","Beesel","0","13519","0","18 maart 2020"
"32","1945","Berg en Dal","14","34798","40.2","18 maart 2020"
"33","1724","Bergeijk","1","18491","5.4","18 maart 2020"
"34","893","Bergen (L)","1","13140","7.6","18 maart 2020"
"35","373","Bergen (NH)","2","29974","6.7","18 maart 2020"
"36","748","Bergen op Zoom","5","66811","7.5","18 maart 2020"
"37","1859","Berkelland","0","43904","0","18 maart 2020"
"38","1721","Bernheze","26","30806","84.4","18 maart 2020"
"39","753","Best","6","29821","20.1","18 maart 2020"
"40","209","Beuningen","6","25882","23.2","18 maart 2020"
"41","375","Beverwijk","6","41176","14.6","18 maart 2020"
"42","1728","Bladel","2","20175","9.9","18 maart 2020"
"43","376","Blaricum","2","11202","17.9","18 maart 2020"
"44","377","Bloemendaal","3","23410","12.8","18 maart 2020"
"45","1901","Bodegraven-Reeuwijk","1","34462","2.9","18 maart 2020"
"46","755","Boekel","19","10588","179.4","18 maart 2020"
"47","1681","Borger-Odoorn","0","25372","0","18 maart 2020"
"48","147","Borne","3","23210","12.9","18 maart 2020"
"49","654","Borsele","2","22800","8.8","18 maart 2020"
"50","756","Boxmeer","2","29065","6.9","18 maart 2020"
