"","montant","municipalite","numero","habitants","montantparhabitant","date"
"1","518","'s-Gravenhage","27","537833","5","19 maart 2020"
"2","796","'s-Hertogenbosch","35","154205","22.7","19 maart 2020"
"3","1680","Aa en Hunze","0","25386","0","19 maart 2020"
"4","358","Aalsmeer","4","31728","12.6","19 maart 2020"
"5","197","Aalten","0","27011","0","19 maart 2020"
"6","59","Achtkarspelen","0","27852","0","19 maart 2020"
"7","482","Alblasserdam","2","20069","10","19 maart 2020"
"8","613","Albrandswaard","4","25271","15.8","19 maart 2020"
"9","361","Alkmaar","9","108558","8.3","19 maart 2020"
"10","141","Almelo","2","72849","2.7","19 maart 2020"
"11","34","Almere","5","207904","2.4","19 maart 2020"
"12","484","Alphen aan den Rijn","10","110986","9","19 maart 2020"
"13","1723","Alphen-Chaam","6","10149","59.1","19 maart 2020"
"14","1959","Altena","19","55386","34.3","19 maart 2020"
"15","60","Ameland","0","3673","0","19 maart 2020"
"16","307","Amersfoort","30","156286","19.2","19 maart 2020"
"17","362","Amstelveen","13","90838","14.3","19 maart 2020"
"18","363","Amsterdam","85","862965","9.8","19 maart 2020"
"19","200","Apeldoorn","11","162445","6.8","19 maart 2020"
"20","3","Appingedam","0","11721","0","19 maart 2020"
"21","202","Arnhem","10","159265","6.3","19 maart 2020"
"22","106","Assen","0","67963","0","19 maart 2020"
"23","743","Asten","2","16710","12","19 maart 2020"
"24","744","Baarle-Nassau","0","6847","0","19 maart 2020"
"25","308","Baarn","2","24767","8.1","19 maart 2020"
"26","489","Barendrecht","4","48673","8.2","19 maart 2020"
"27","203","Barneveld","6","57971","10.4","19 maart 2020"
"28","888","Beek","3","15929","18.8","19 maart 2020"
"29","1954","Beekdaelen","18","35727","50.4","19 maart 2020"
"30","370","Beemster","0","9748","0","19 maart 2020"
"31","889","Beesel","0","13519","0","19 maart 2020"
"32","1945","Berg en Dal","18","34798","51.7","19 maart 2020"
"33","1724","Bergeijk","1","18491","5.4","19 maart 2020"
"34","893","Bergen (L)","1","13140","7.6","19 maart 2020"
"35","373","Bergen (NH)","4","29974","13.3","19 maart 2020"
"36","748","Bergen op Zoom","6","66811","9","19 maart 2020"
"37","1859","Berkelland","1","43904","2.3","19 maart 2020"
"38","1721","Bernheze","30","30806","97.4","19 maart 2020"
"39","753","Best","6","29821","20.1","19 maart 2020"
"40","209","Beuningen","6","25882","23.2","19 maart 2020"
"41","375","Beverwijk","6","41176","14.6","19 maart 2020"
"42","1728","Bladel","3","20175","14.9","19 maart 2020"
"43","376","Blaricum","2","11202","17.9","19 maart 2020"
"44","377","Bloemendaal","3","23410","12.8","19 maart 2020"
"45","1901","Bodegraven-Reeuwijk","1","34462","2.9","19 maart 2020"
"46","755","Boekel","20","10588","188.9","19 maart 2020"
"47","1681","Borger-Odoorn","0","25372","0","19 maart 2020"
"48","147","Borne","3","23210","12.9","19 maart 2020"
"49","654","Borsele","3","22800","13.2","19 maart 2020"
"50","756","Boxmeer","2","29065","6.9","19 maart 2020"
"51","757","Boxtel","6","30747","19.5","19 maart 2020"
"52","758","Breda","113","183873","61.5","19 maart 2020"
"53","501","Brielle","1","17182","5.8","19 maart 2020"
"54","1876","Bronckhorst","3","36212","8.3","19 maart 2020"
"55","213","Brummen","1","20698","4.8","19 maart 2020"
"56","899","Brunssum","4","28103","14.2","19 maart 2020"
"57","312","Bunnik","1","15192","6.6","19 maart 2020"
"58","313","Bunschoten","0","21576","0","19 maart 2020"
"59","214","Buren","5","26568","18.8","19 maart 2020"
"60","502","Capelle aan den IJssel","2","66818","3","19 maart 2020"
"61","383","Castricum","6","35772","16.8","19 maart 2020"
"62","109","Coevorden","12","35483","33.8","19 maart 2020"
"63","1706","Cranendonck","6","20440","29.4","19 maart 2020"
"64","1684","Cuijk","4","24931","16","19 maart 2020"
"65","216","Culemborg","4","28555","14","19 maart 2020"
"66","148","Dalfsen","1","28499","3.5","19 maart 2020"
"67","1891","Dantumadiel","0","18923","0","19 maart 2020"
"68","310","De Bilt","16","42824","37.4","19 maart 2020"
"69","1940","De Fryske Marren","5","51430","9.7","19 maart 2020"
"70","736","De Ronde Venen","2","44059","4.5","19 maart 2020"
"71","1690","De Wolden","1","24110","4.1","19 maart 2020"
"72","503","Delft","5","103163","4.8","19 maart 2020"
"73","10","Delfzijl","0","24716","0","19 maart 2020"
"74","400","Den Helder","2","55604","3.6","19 maart 2020"
"75","762","Deurne","10","32362","30.9","19 maart 2020"
"76","150","Deventer","5","99957","5","19 maart 2020"
"77","384","Diemen","2","29196","6.9","19 maart 2020"
"78","1774","Dinkelland","8","26350","30.4","19 maart 2020"
"79","221","Doesburg","1","11148","9","19 maart 2020"
"80","222","Doetinchem","3","57555","5.2","19 maart 2020"
"81","766","Dongen","5","26051","19.2","19 maart 2020"
"82","505","Dordrecht","8","118654","6.7","19 maart 2020"
"83","498","Drechterland","0","19597","0","19 maart 2020"
"84","1719","Drimmelen","13","27150","47.9","19 maart 2020"
"85","303","Dronten","9","40815","22.1","19 maart 2020"
"86","225","Druten","5","18797","26.6","19 maart 2020"
"87","226","Duiven","2","25332","7.9","19 maart 2020"
"88","1711","Echt-Susteren","6","31638","19","19 maart 2020"
"89","385","Edam-Volendam","3","36099","8.3","19 maart 2020"
"90","228","Ede","5","115710","4.3","19 maart 2020"
"91","317","Eemnes","1","9113","11","19 maart 2020"
"92","770","Eersel","4","19110","20.9","19 maart 2020"
"93","1903","Eijsden-Margraten","4","25658","15.6","19 maart 2020"
"94","772","Eindhoven","24","231642","10.4","19 maart 2020"
"95","230","Elburg","1","23086","4.3","19 maart 2020"
"96","114","Emmen","3","107113","2.8","19 maart 2020"
"97","388","Enkhuizen","5","18507","27","19 maart 2020"
"98","153","Enschede","7","158986","4.4","19 maart 2020"
"99","232","Epe","4","33145","12.1","19 maart 2020"
"100","233","Ermelo","8","26858","29.8","19 maart 2020"
"101","777","Etten-Leur","14","43774","32","19 maart 2020"
"102","779","Geertruidenberg","7","21515","32.5","19 maart 2020"
"103","1771","Geldrop-Mierlo","4","39595","10.1","19 maart 2020"
"104","1652","Gemert-Bakel","31","30447","101.8","19 maart 2020"
"105","907","Gennep","4","17071","23.4","19 maart 2020"
"106","784","Gilze en Rijen","5","26431","18.9","19 maart 2020"
"107","1924","Goeree-Overflakkee","8","49611","16.1","19 maart 2020"
"108","664","Goes","3","37653","8","19 maart 2020"
"109","785","Goirle","11","23793","46.2","19 maart 2020"
"110","1942","Gooise Meren","10","57715","17.3","19 maart 2020"
"111","512","Gorinchem","1","36682","2.7","19 maart 2020"
"112","513","Gouda","9","73181","12.3","19 maart 2020"
"113","786","Grave","2","12483","16","19 maart 2020"
"114","14","Groningen","23","231299","9.9","19 maart 2020"
"115","1729","Gulpen-Wittem","2","14246","14","19 maart 2020"
"116","158","Haaksbergen","1","24277","4.1","19 maart 2020"
"117","788","Haaren","9","14195","63.4","19 maart 2020"
"118","392","Haarlem","10","161265","6.2","19 maart 2020"
"119","394","Haarlemmermeer","5","154235","3.2","19 maart 2020"
"120","1655","Halderberge","2","30194","6.6","19 maart 2020"
"121","160","Hardenberg","0","60574","0","19 maart 2020"
"122","243","Harderwijk","5","47581","10.5","19 maart 2020"
"123","523","Hardinxveld-Giessendam","5","18051","27.7","19 maart 2020"
"124","72","Harlingen","1","15758","6.3","19 maart 2020"
"125","244","Hattem","0","12173","0","19 maart 2020"
"126","396","Heemskerk","3","39164","7.7","19 maart 2020"
"127","397","Heemstede","5","27286","18.3","19 maart 2020"
